location,description,secs,category,CDNumber,CDName,tracknum,repetitions,start_time
07070180.wav,Martinskirken bell (Copenhagen) - call to mid-morning service,94,Copenhagen,ECD104,Time - Clocks & Bells,37,-1,0.0
07070179.wav,Copenhagen City Hall - 1/4 hour,9,Copenhagen,ECD104,Time - Clocks & Bells,36,4,0.0
07070178.wav,Copenhagen City Hall - 1/2 hour,11,Copenhagen,ECD104,Time - Clocks & Bells,35,8,0.0
07070177.wav,Copenhagen City Hall - bell strikes 12,65,Copenhagen,ECD104,Time - Clocks & Bells,34,-1,0.0
07070176.wav,"Swiss Centre, Leicester Square - bell strikes 6 into carrillion of traditional tunes (some voices in background)",311,London: Leicester Square,ECD104,Time - Clocks & Bells,33,-1,0.0
07070175.wav,"St.Michael's Church, St.Albans - bell strikes 9",33,Bells: Churc`hes,ECD104,Time - Clocks & Bells,32,9,0.0
07070174.wav,St.Albans Catherdral - 1/4 hour,17,Bells: Cathedrals,ECD104,Time - Clocks & Bells,31,12,0.0
07070173.wav,St.Albans Catherdral - bell strikes 8,52,Bells: Cathedrals,ECD104,Time - Clocks & Bells,30,-1,0.0
07070172.wav,"Carfax Tower, Oxford (interior perspective) - 1/2 hour",24,Clocks: Striking,ECD104,Time - Clocks & Bells,29,10,0.0
07070171.wav,"Carfax Tower, Oxford (interior perspective) - 1/4 hour",17,Clocks: Striking,ECD104,Time - Clocks & Bells,28,5,0.0
07070170.wav,"Carfax Tower, Oxford (interior perspective) - strikes 12",64,Clocks: Striking,ECD104,Time - Clocks & Bells,27,-1,0.0
07070169.wav,"Magdalen College, Oxford - 1/4 hour",13,Clocks: Striking,ECD104,Time - Clocks & Bells,26,6,0.0
07070168.wav,"Magdalen College, Oxford - bell strikes 12",49,Clocks: Striking,ECD104,Time - Clocks & Bells,25,-1,0.0
07070167.wav,"Merton College, Oxford - 1/4 hour",28,Clocks: Striking,ECD104,Time - Clocks & Bells,24,10,0.0
07070166.wav,"Merton College, Oxford - 1/2 hour",25,Clocks: Striking,ECD104,Time - Clocks & Bells,23,7,0.0
07070165.wav,"Merton College, Oxford (some voices and birdsong) - bell strikes 12",75,Clocks: Striking,ECD104,Time - Clocks & Bells,22,-1,0.0
07070164.wav,"Tom, Christ Church, Oxford - strikes 12 (interior perspective)",78,Clocks: Striking,ECD104,Time - Clocks & Bells,21,12,0.0
07070163.wav,Car clock ticking,156,Clocks: Ticking,ECD104,Time - Clocks & Bells,20,-1,0.0
07070162.wav,Digital watch alarm,20,Alarms: Watches,ECD104,Time - Clocks & Bells,19,-1,0.0
07070161.wav,Portable electric alarm clock,37,Clocks: Alarm,ECD104,Time - Clocks & Bells,18,10,0.0
07070160.wav,Room full of ticking clocks,88,Clocks: Ticking,ECD104,Time - Clocks & Bells,17,-1,0.0
07070159.wav,English clock (1715) - strikes 12 across halway,23,Clocks: Striking,ECD104,Time - Clocks & Bells,16,12,0.0
07070158.wav,French clock (late 19th Century) - strikes 12,18,Clocks: Striking,ECD104,Time - Clocks & Bells,15,12,0.0
07070157.wav,English Walnut clock (1700) - wound up,26,Clocks: Winding Up,ECD104,Time - Clocks & Bells,14,-1,0.0
07070156.wav,English Walnut clock (1700) - strikes 12,16,Clocks: Striking,ECD104,Time - Clocks & Bells,13,12,0.0
07070155.wav,Cuckoo clock (1820) - ticking,215,Clocks: Cuckoo,ECD104,Time - Clocks & Bells,12,-1,0.0
07070154.wav,Cuckoo clock (1820) - strikes 12,34,Clocks: Cuckoo,ECD104,Time - Clocks & Bells,11,12,0.0
07070153.wav,Bracket clock (1740) with gong - strikes 12,23,Clocks: Gong,ECD104,Time - Clocks & Bells,10,12,0.0
07070152.wav,Bracket with St.Michael's chimes - 3/4 hour,10,Clocks: Chiming,ECD104,Time - Clocks & Bells,9,-1,0.0
07070151.wav,Bracket with St.Michael's chimes - 1/2 hour,9,Clocks: Chiming,ECD104,Time - Clocks & Bells,8,-1,0.0
07070150.wav,Bracket with St.Michael's chimes - 1/4 hour,6,Clocks: Chiming,ECD104,Time - Clocks & Bells,7,-1,0.0
07070149.wav,Bracket with St.Michael's chimes - strikes 12,24,Clocks: Chiming,ECD104,Time - Clocks & Bells,6,-1,0.0
07070148.wav,Bracket clock (1920) with Westminster chimes - strikes 12,59,Clocks: Chiming,ECD104,Time - Clocks & Bells,5,-1,0.0
07070147.wav,Grandfather clock (1680) - ticking,243,Clocks: Grandfather,ECD104,Time - Clocks & Bells,4,-1,0.0
07070146.wav,Grandfather clock (1850) - strikes 12 (rapid),18,Clocks: Grandfather,ECD104,Time - Clocks & Bells,3,12,0.0
07070145.wav,Grandfather clock (1750) - strikes 12,40,Clocks: Grandfather,ECD104,Time - Clocks & Bells,2,12,0.0
07070144.wav,Grandfather clock (1710) - strikes 12,28,Clocks: Grandfather,ECD104,Time - Clocks & Bells,1,12,0.0
07036204.wav,"Grandfather Clock with St Michael's chimes, winding by chain.",40,,EC209D,Domestic Clock,10,-1,0.0
07036203.wav,"Grandfather Clock with St Michael's chimes, striking twelve o'clock.",66,,EC209D,Domestic Clock,9,12,20.0
07036202.wav,"Grandfather Clock with St Michael's chimes, striking eleven o'clock.",61,,EC209D,Domestic Clock,8,11,20.0
07036201.wav,"Grandfather Clock with St Michael's chimes, striking ten o'clock.",59,,EC209D,Domestic Clock,7,10,20.0
07036200.wav,"Grandfather Clock with St Michael's chimes, striking nine o'clock.",57,,EC209D,Domestic Clock,6,9,20.0
07036199.wav,"Grandfather Clock with St Michael's chimes, striking eight o'clock.",54,,EC209D,Domestic Clock,5,8,20.0
07036198.wav,"Grandfather Clock with St Michael's chimes, striking seven o'clock.",50,,EC209D,Domestic Clock,4,7,20.0
07036197.wav,"Grandfather Clock with St Michael's chimes, striking six o'clock.",48,,EC209D,Domestic Clock,3,6,20.0
07036196.wav,"Grandfather Clock with St Michael's chimes, striking five o'clock.",45,,EC209D,Domestic Clock,2,5,20.0
07036195.wav,"Grandfather Clock with St Michael's chimes, striking four o'clock.",42,,EC209D,Domestic Clock,1,4,20.0
07036194.wav,"Grandfather Clock with St Michael's chimes, striking three o'clock.",39,,EC209C,Domestic Clock,12,3,20.0
07036193.wav,"Grandfather Clock with St Michael's chimes, striking two o'clock.",40,,EC209C,Domestic Clock,11,2,20.0
07036192.wav,"Grandfather Clock with St Michael's chimes, striking one o'clock.",34,,EC209C,Domestic Clock,10,1,20.0
07036191.wav,"Grandfather Clock with St Michael's chimes, striking quarter to the hour.",30,,EC209C,Domestic Clock,9,-1,0.0
07036190.wav,"Grandfather Clock with St Michael's chimes, striking half past the hour.",21,,EC209C,Domestic Clock,8,-1,0.0
07036189.wav,"Grandfather Clock with St Michael's chimes, striking quarter past the hour.",16,,EC209C,Domestic Clock,7,8,0.0
07036188.wav,"Domestic Mantle Clock striking twelve o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",64,,EC209C,Domestic Clock,6,12,15.0
07036187.wav,"Domestic Mantle Clock striking eleven o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",62,,EC209C,Domestic Clock,5,11,15.0
07036186.wav,"Domestic Mantle Clock striking ten o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",62,,EC209C,Domestic Clock,4,10,15.0
07036185.wav,"Domestic Mantle Clock striking nine o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",58,,EC209C,Domestic Clock,3,9,15.0
07036184.wav,"Domestic Mantle Clock striking eight o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",56,,EC209C,Domestic Clock,2,8,15.0
07036183.wav,"Domestic Mantle Clock striking seven o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",52,,EC209C,Domestic Clock,1,7,15.0
07036182.wav,"Domestic Mantle Clock striking six o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",54,,EC209B,Domestic Clock,12,6,15.0
07036181.wav,"Domestic Mantle Clock striking five o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",51,,EC209B,Domestic Clock,11,5,15.0
07036180.wav,"Domestic Mantle Clock striking four o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",47,,EC209B,Domestic Clock,10,4,15.0
