location,repetitions
PulseTrain_001.wav,4
PulseTrain_002.wav,9
PulseTrain_003.wav,3
PulseTrain_004.wav,5
PulseTrain_005.wav,3
PulseTrain_006.wav,6
PulseTrain_007.wav,23
PulseTrain_008.wav,15
PulseTrain_009.wav,7
PulseTrain_010.wav,15
PulseTrain_011.wav,11
PulseTrain_012.wav,5
PulseTrain_013.wav,4
PulseTrain_014.wav,9
PulseTrain_015.wav,14
PulseTrain_016.wav,6
PulseTrain_017.wav,28
PulseTrain_018.wav,13
PulseTrain_019.wav,73
PulseTrain_020.wav,113
PulseTrain_021.wav,23
PulseTrain_022.wav,35
PulseTrain_023.wav,41
PulseTrain_024.wav,50
PulseTrain_025.wav,10
PulseTrain_026.wav,18
PulseTrain_027.wav,8
PulseTrain_028.wav,18
PulseTrain_029.wav,26
PulseTrain_030.wav,63
PulseTrain_031.wav,31
PulseTrain_032.wav,17
PulseTrain_033.wav,13
PulseTrain_034.wav,14
PulseTrain_035.wav,18
PulseTrain_036.wav,25
PulseTrain_037.wav,5
PulseTrain_038.wav,4
PulseTrain_039.wav,9
PulseTrain_040.wav,46
PulseTrain_041.wav,40
PulseTrain_042.wav,15
PulseTrain_043.wav,15
PulseTrain_044.wav,12
PulseTrain_045.wav,3
PulseTrain_046.wav,60
PulseTrain_047.wav,23
PulseTrain_048.wav,45
PulseTrain_049.wav,17
PulseTrain_050.wav,4
PulseTrain_051.wav,10
PulseTrain_052.wav,15
PulseTrain_053.wav,7
PulseTrain_054.wav,7
PulseTrain_055.wav,32
PulseTrain_056.wav,4
PulseTrain_057.wav,80
PulseTrain_058.wav,8
PulseTrain_059.wav,75
PulseTrain_060.wav,12
PulseTrain_061.wav,7
PulseTrain_062.wav,60
PulseTrain_063.wav,28
PulseTrain_064.wav,15
PulseTrain_065.wav,59
PulseTrain_066.wav,21
PulseTrain_067.wav,18
PulseTrain_068.wav,22
PulseTrain_069.wav,35
PulseTrain_070.wav,8
PulseTrain_071.wav,4
PulseTrain_072.wav,20
PulseTrain_073.wav,37
PulseTrain_074.wav,21
PulseTrain_075.wav,9
PulseTrain_076.wav,16
PulseTrain_077.wav,7
PulseTrain_078.wav,5
PulseTrain_079.wav,14
PulseTrain_080.wav,16
PulseTrain_081.wav,12
PulseTrain_082.wav,14
PulseTrain_083.wav,9
PulseTrain_084.wav,7
PulseTrain_085.wav,5
PulseTrain_086.wav,3
PulseTrain_087.wav,21
PulseTrain_088.wav,5
PulseTrain_089.wav,10
PulseTrain_090.wav,69
PulseTrain_091.wav,6
PulseTrain_092.wav,4
PulseTrain_093.wav,3
PulseTrain_094.wav,7
PulseTrain_095.wav,5
PulseTrain_096.wav,3
PulseTrain_097.wav,4
PulseTrain_098.wav,4
PulseTrain_099.wav,3
PulseTrain_100.wav,4
PulseTrain_101.wav,12
PulseTrain_102.wav,28
PulseTrain_103.wav,5
PulseTrain_104.wav,7
PulseTrain_105.wav,6
PulseTrain_106.wav,12
PulseTrain_107.wav,6
PulseTrain_108.wav,7
PulseTrain_109.wav,13
PulseTrain_110.wav,95
PulseTrain_111.wav,14
PulseTrain_112.wav,34
PulseTrain_113.wav,58
PulseTrain_114.wav,28
PulseTrain_115.wav,28
PulseTrain_116.wav,54
PulseTrain_117.wav,13
PulseTrain_118.wav,63
PulseTrain_119.wav,7
PulseTrain_120.wav,42
PulseTrain_121.wav,3
PulseTrain_122.wav,29
PulseTrain_123.wav,19
PulseTrain_124.wav,43
PulseTrain_125.wav,47
PulseTrain_126.wav,35
PulseTrain_127.wav,36
PulseTrain_128.wav,54
PulseTrain_129.wav,6
PulseTrain_130.wav,3
PulseTrain_131.wav,89
PulseTrain_132.wav,16
PulseTrain_133.wav,60
PulseTrain_134.wav,26
PulseTrain_135.wav,83
PulseTrain_136.wav,3
PulseTrain_137.wav,40
PulseTrain_138.wav,8
PulseTrain_139.wav,8
PulseTrain_140.wav,23
PulseTrain_141.wav,25
PulseTrain_142.wav,6
PulseTrain_143.wav,9
PulseTrain_144.wav,25
PulseTrain_145.wav,9
PulseTrain_146.wav,19
PulseTrain_147.wav,27
PulseTrain_148.wav,111
PulseTrain_149.wav,3
PulseTrain_150.wav,21
PulseTrain_151.wav,22
PulseTrain_152.wav,3
PulseTrain_153.wav,3
PulseTrain_154.wav,10
PulseTrain_155.wav,27
PulseTrain_156.wav,60
PulseTrain_157.wav,84
PulseTrain_158.wav,7
PulseTrain_159.wav,47
PulseTrain_160.wav,30
PulseTrain_161.wav,59
PulseTrain_162.wav,9
PulseTrain_163.wav,3
PulseTrain_164.wav,3
PulseTrain_165.wav,4
PulseTrain_166.wav,47
PulseTrain_167.wav,99
PulseTrain_168.wav,57
PulseTrain_169.wav,18
PulseTrain_170.wav,110
PulseTrain_171.wav,32
PulseTrain_172.wav,33
PulseTrain_173.wav,22
PulseTrain_174.wav,19
PulseTrain_175.wav,3
PulseTrain_176.wav,3
PulseTrain_177.wav,37
PulseTrain_178.wav,31
PulseTrain_179.wav,5
PulseTrain_180.wav,20
PulseTrain_181.wav,23
PulseTrain_182.wav,14
PulseTrain_183.wav,29
PulseTrain_184.wav,64
PulseTrain_185.wav,16
PulseTrain_186.wav,15
PulseTrain_187.wav,8
PulseTrain_188.wav,14
PulseTrain_189.wav,47
PulseTrain_190.wav,88
PulseTrain_191.wav,18
PulseTrain_192.wav,6
PulseTrain_193.wav,15
PulseTrain_194.wav,9
PulseTrain_195.wav,29
PulseTrain_196.wav,21
PulseTrain_197.wav,18
PulseTrain_198.wav,6
PulseTrain_199.wav,15
PulseTrain_200.wav,33
PulseTrain_201.wav,19
PulseTrain_202.wav,19
PulseTrain_203.wav,9
PulseTrain_204.wav,94
PulseTrain_205.wav,38
PulseTrain_206.wav,45
PulseTrain_207.wav,29
PulseTrain_208.wav,111
PulseTrain_209.wav,22
PulseTrain_210.wav,52
PulseTrain_211.wav,13
PulseTrain_212.wav,36
PulseTrain_213.wav,6
PulseTrain_214.wav,13
PulseTrain_215.wav,20
PulseTrain_216.wav,31
PulseTrain_217.wav,31
PulseTrain_218.wav,40
PulseTrain_219.wav,29
PulseTrain_220.wav,22
PulseTrain_221.wav,23
PulseTrain_222.wav,23
PulseTrain_223.wav,58
PulseTrain_224.wav,29
PulseTrain_225.wav,9
PulseTrain_226.wav,9
PulseTrain_227.wav,35
PulseTrain_228.wav,18
PulseTrain_229.wav,18
PulseTrain_230.wav,26
PulseTrain_231.wav,23
PulseTrain_232.wav,22
PulseTrain_233.wav,9
PulseTrain_234.wav,9
PulseTrain_235.wav,18
PulseTrain_236.wav,74
PulseTrain_237.wav,5
PulseTrain_238.wav,20
PulseTrain_239.wav,35
PulseTrain_240.wav,31
PulseTrain_241.wav,16
PulseTrain_242.wav,11
PulseTrain_243.wav,11
PulseTrain_244.wav,16
PulseTrain_245.wav,19
PulseTrain_246.wav,10
PulseTrain_247.wav,75
PulseTrain_248.wav,30
PulseTrain_249.wav,38
PulseTrain_250.wav,4
PulseTrain_251.wav,5
PulseTrain_252.wav,17
PulseTrain_253.wav,6
PulseTrain_254.wav,15
PulseTrain_255.wav,6
PulseTrain_256.wav,5
PulseTrain_257.wav,7
PulseTrain_258.wav,8
PulseTrain_259.wav,4
PulseTrain_260.wav,8
PulseTrain_261.wav,21
PulseTrain_262.wav,92
PulseTrain_263.wav,7
PulseTrain_264.wav,6
PulseTrain_265.wav,3
PulseTrain_266.wav,7
PulseTrain_267.wav,21
PulseTrain_268.wav,6
PulseTrain_269.wav,8
PulseTrain_270.wav,18
PulseTrain_271.wav,6
PulseTrain_272.wav,9
PulseTrain_273.wav,7
PulseTrain_274.wav,9
PulseTrain_275.wav,7
PulseTrain_276.wav,21
PulseTrain_277.wav,11
PulseTrain_278.wav,6
PulseTrain_279.wav,10
PulseTrain_280.wav,18
PulseTrain_281.wav,12
PulseTrain_282.wav,4
PulseTrain_283.wav,20
PulseTrain_284.wav,5
PulseTrain_285.wav,9
PulseTrain_286.wav,5
PulseTrain_287.wav,5
PulseTrain_288.wav,8
PulseTrain_289.wav,17
PulseTrain_290.wav,48
PulseTrain_291.wav,19
PulseTrain_292.wav,20
PulseTrain_293.wav,5
PulseTrain_294.wav,22
PulseTrain_295.wav,13
PulseTrain_296.wav,22
PulseTrain_297.wav,18
PulseTrain_298.wav,10
PulseTrain_299.wav,8
PulseTrain_300.wav,78
PulseTrain_301.wav,6
PulseTrain_302.wav,15
PulseTrain_303.wav,22
PulseTrain_304.wav,65
PulseTrain_305.wav,24
PulseTrain_306.wav,5
PulseTrain_307.wav,3
PulseTrain_308.wav,36
PulseTrain_309.wav,28
PulseTrain_310.wav,12
PulseTrain_311.wav,23
PulseTrain_312.wav,18
PulseTrain_313.wav,22
PulseTrain_314.wav,13
PulseTrain_315.wav,12
PulseTrain_316.wav,19
PulseTrain_317.wav,89
PulseTrain_318.wav,35
PulseTrain_319.wav,14
PulseTrain_320.wav,18
PulseTrain_321.wav,154
PulseTrain_322.wav,46
PulseTrain_323.wav,4
PulseTrain_324.wav,7
PulseTrain_325.wav,20
PulseTrain_326.wav,7
PulseTrain_327.wav,8
PulseTrain_328.wav,71
PulseTrain_329.wav,61
PulseTrain_330.wav,164
PulseTrain_331.wav,35
