location,repetitions
a0001.wav,36
a0002.wav,27
a0003.wav,25
a0004.wav,35
a0005.wav,52
a0006.wav,27
a0007.wav,52
a0008.wav,51
a0009.wav,46
a0010.wav,44
a0011.wav,34
a0012.wav,28
a0013.wav,38
a0014.wav,32
a0015.wav,38
a0016.wav,31
a0017.wav,38
a0018.wav,23
a0019.wav,35
a0020.wav,55
a0021.wav,31
a0022.wav,30
a0023.wav,23
a0024.wav,25
a0025.wav,33
a0026.wav,40
a0027.wav,36
a0028.wav,29
a0029.wav,38
a0030.wav,47
a0031.wav,20
a0032.wav,32
a0033.wav,37
a0034.wav,29
a0035.wav,32
a0036.wav,38
a0037.wav,47
a0038.wav,46
a0039.wav,33
a0040.wav,49
a0041.wav,36
a0042.wav,40
a0043.wav,42
a0044.wav,27
a0045.wav,33
a0046.wav,46
a0047.wav,63
a0048.wav,45
a0049.wav,34
a0050.wav,36
a0051.wav,31
a0052.wav,40
a0053.wav,36
a0054.wav,42
a0055.wav,67
a0056.wav,34
a0057.wav,44
a0058.wav,22
a0059.wav,30
a0060.wav,36
a0061.wav,38
a0062.wav,36
a0063.wav,38
a0064.wav,37
a0065.wav,38
a0066.wav,40
a0067.wav,23
a0068.wav,46
a0069.wav,33
a0070.wav,28
a0071.wav,37
a0072.wav,52
a0073.wav,37
a0074.wav,23
a0075.wav,36
a0076.wav,55
a0077.wav,40
a0078.wav,34
a0079.wav,37
a0080.wav,42
a0081.wav,48
a0082.wav,26
a0083.wav,38
a0084.wav,26
a0085.wav,39
a0086.wav,40
a0087.wav,23
a0088.wav,44
a0089.wav,12
a0090.wav,21
a0091.wav,28
a0092.wav,35
a0093.wav,36
a0094.wav,41
a0095.wav,39
a0096.wav,46
a0097.wav,45
a0098.wav,34
a0099.wav,30
a0100.wav,24
a0101.wav,38
a0102.wav,54
a0103.wav,24
a0104.wav,22
a0105.wav,51
a0106.wav,41
a0107.wav,47
a0108.wav,36
a0109.wav,32
a0110.wav,48
a0111.wav,20
a0112.wav,41
a0113.wav,40
a0114.wav,46
a0115.wav,66
a0116.wav,22
a0117.wav,35
a0118.wav,31
a0119.wav,40
a0120.wav,39
a0121.wav,44
a0122.wav,52
a0123.wav,20
a0124.wav,30
a0125.wav,43
a0126.wav,41
a0127.wav,40
a0128.wav,36
a0129.wav,54
a0130.wav,35
a0131.wav,24
a0132.wav,28
a0133.wav,35
a0134.wav,43
a0135.wav,34
a0136.wav,37
a0137.wav,44
a0138.wav,28
a0139.wav,37
a0140.wav,35
a0141.wav,37
a0142.wav,34
a0143.wav,42
a0144.wav,30
a0145.wav,39
a0146.wav,36
a0147.wav,53
a0148.wav,40
a0149.wav,35
a0150.wav,36
a0151.wav,32
a0152.wav,39
a0153.wav,32
a0154.wav,34
a0155.wav,42
a0156.wav,25
a0157.wav,50
a0158.wav,24
a0159.wav,39
a0160.wav,49
a0161.wav,78
a0162.wav,25
a0163.wav,36
a0164.wav,34
a0165.wav,38
a0166.wav,42
a0167.wav,43
a0168.wav,33
a0169.wav,31
a0170.wav,46
a0171.wav,43
a0172.wav,41
a0173.wav,24
a0174.wav,25
a0175.wav,31
a0176.wav,43
a0177.wav,33
a0178.wav,50
a0179.wav,39
a0180.wav,47
a0181.wav,58
a0182.wav,43
a0183.wav,44
a0184.wav,42
a0185.wav,48
a0186.wav,43
a0187.wav,38
a0188.wav,38
a0189.wav,43
a0190.wav,31
a0191.wav,46
a0192.wav,32
a0193.wav,31
a0194.wav,26
a0195.wav,30
a0196.wav,36
a0197.wav,45
a0198.wav,43
a0199.wav,50
a0200.wav,35
a0201.wav,47
a0202.wav,45
a0203.wav,41
a0204.wav,30
a0205.wav,23
a0206.wav,39
a0207.wav,30
a0208.wav,33
a0209.wav,46
a0210.wav,32
a0211.wav,37
a0212.wav,34
a0213.wav,31
a0214.wav,54
a0215.wav,41
a0216.wav,39
a0217.wav,31
a0218.wav,31
a0219.wav,38
a0220.wav,30
a0221.wav,32
a0222.wav,32
a0223.wav,22
a0224.wav,37
a0225.wav,38
a0226.wav,43
a0227.wav,51
a0228.wav,30
a0229.wav,36
a0230.wav,42
a0231.wav,33
a0232.wav,43
a0233.wav,31
a0234.wav,30
a0235.wav,40
a0236.wav,49
a0237.wav,55
a0238.wav,14
a0239.wav,22
a0240.wav,31
a0241.wav,42
a0242.wav,31
a0243.wav,49
a0244.wav,51
a0245.wav,55
a0246.wav,46
a0247.wav,39
a0248.wav,25
a0249.wav,37
a0250.wav,43
a0251.wav,27
a0252.wav,21
a0253.wav,52
a0254.wav,30
a0255.wav,31
a0256.wav,18
a0257.wav,33
a0258.wav,42
a0259.wav,38
a0260.wav,46
a0261.wav,49
a0262.wav,36
a0263.wav,28
a0264.wav,36
a0265.wav,25
a0266.wav,44
a0267.wav,23
a0268.wav,30
a0269.wav,35
a0270.wav,28
a0271.wav,34
a0272.wav,41
a0273.wav,40
a0274.wav,55
a0275.wav,30
a0276.wav,46
a0277.wav,36
a0278.wav,32
a0279.wav,33
a0280.wav,57
a0281.wav,33
a0282.wav,54
a0283.wav,34
a0284.wav,52
a0285.wav,45
a0286.wav,27
a0287.wav,27
a0288.wav,28
a0289.wav,29
a0290.wav,32
a0291.wav,37
a0292.wav,28
a0293.wav,28
a0294.wav,40
a0295.wav,32
a0296.wav,17
a0297.wav,51
a0298.wav,33
a0299.wav,32
a0300.wav,37
a0301.wav,31
a0302.wav,34
a0303.wav,33
a0304.wav,59
a0305.wav,24
a0306.wav,37
a0307.wav,42
a0308.wav,47
a0309.wav,32
a0310.wav,26
a0311.wav,32
a0312.wav,39
a0313.wav,36
a0314.wav,13
a0315.wav,27
a0316.wav,31
a0317.wav,47
a0318.wav,21
a0319.wav,50
a0320.wav,34
a0321.wav,34
a0322.wav,24
a0323.wav,23
a0324.wav,52
a0325.wav,34
a0326.wav,57
a0327.wav,42
a0328.wav,32
a0329.wav,51
a0330.wav,33
a0331.wav,38
a0332.wav,46
a0333.wav,28
a0334.wav,42
a0335.wav,37
a0336.wav,14
a0337.wav,27
a0338.wav,27
a0339.wav,33
a0340.wav,39
a0341.wav,33
a0342.wav,35
a0343.wav,36
a0344.wav,25
a0345.wav,31
a0346.wav,44
a0347.wav,26
a0348.wav,43
a0349.wav,44
a0350.wav,32
a0351.wav,55
a0352.wav,45
a0353.wav,27
a0354.wav,37
a0355.wav,40
a0356.wav,32
a0357.wav,40
a0358.wav,25
a0359.wav,31
a0360.wav,28
a0361.wav,26
a0362.wav,27
a0363.wav,49
a0364.wav,46
a0365.wav,47
a0366.wav,31
a0367.wav,36
a0368.wav,32
a0369.wav,27
a0370.wav,50
a0371.wav,25
a0372.wav,43
a0373.wav,30
a0374.wav,49
a0375.wav,48
a0376.wav,48
a0377.wav,45
a0378.wav,40
a0379.wav,58
a0380.wav,37
a0381.wav,37
a0382.wav,23
a0383.wav,32
a0384.wav,31
a0385.wav,25
a0386.wav,47
a0387.wav,42
a0388.wav,53
a0389.wav,51
a0390.wav,47
a0391.wav,56
a0392.wav,50
a0393.wav,50
a0394.wav,21
a0395.wav,19
a0396.wav,49
a0397.wav,34
a0398.wav,40
a0399.wav,51
a0400.wav,16
a0401.wav,37
a0402.wav,60
a0403.wav,35
a0404.wav,25
a0405.wav,14
a0406.wav,35
a0407.wav,49
a0408.wav,33
a0409.wav,26
b0001.wav,8
b0002.wav,9
b0003.wav,8
b0004.wav,9
b0005.wav,9
b0006.wav,11
b0007.wav,9
b0008.wav,9
b0009.wav,8
b0010.wav,6
b0011.wav,13
b0012.wav,9
b0013.wav,9
b0014.wav,7
b0015.wav,14
b0016.wav,7
b0017.wav,9
b0018.wav,10
b0019.wav,10
b0020.wav,7
b0021.wav,10
b0022.wav,15
b0023.wav,7
b0024.wav,9
b0025.wav,8
b0026.wav,11
b0027.wav,8
b0028.wav,9
b0029.wav,7
b0030.wav,8
b0031.wav,11
b0032.wav,8
b0033.wav,7
b0034.wav,5
b0035.wav,8
b0036.wav,10
b0037.wav,8
b0038.wav,8
b0039.wav,10
b0040.wav,9
b0041.wav,10
b0042.wav,12
b0043.wav,9
b0044.wav,10
b0045.wav,6
b0046.wav,8
b0047.wav,11
b0048.wav,9
b0049.wav,8
b0050.wav,9
b0051.wav,11
b0052.wav,9
b0053.wav,9
b0054.wav,12
b0055.wav,9
b0056.wav,8
b0057.wav,4
b0058.wav,7
b0059.wav,9
b0060.wav,8
b0061.wav,7
b0062.wav,8
b0063.wav,9
b0064.wav,10
b0065.wav,14
b0066.wav,8
b0067.wav,8
b0068.wav,11
b0069.wav,4
b0070.wav,6
b0071.wav,9
b0072.wav,11
b0073.wav,7
b0074.wav,10
b0075.wav,11
b0076.wav,8
b0077.wav,11
b0078.wav,9
b0079.wav,9
b0080.wav,10
b0081.wav,8
b0082.wav,7
b0083.wav,9
b0084.wav,9
b0085.wav,6
b0086.wav,13
b0087.wav,8
b0088.wav,6
