location,repetitions,clear,double
b0001.wav,8,0,1
b0009.wav,9,1,1
b0010.wav,7,1,1
b0014.wav,6,0,1
b0016.wav,8,1,0
b0023.wav,8,0,0
b0025.wav,8,1,1
b0027.wav,8,1,1
b0029.wav,2,1,0
b0030.wav,8,1,1
b0032.wav,8,1,0
b0033.wav,7,1,0
b0034.wav,10,0,1
b0037.wav,8,0,1
b0038.wav,8,0,1
b0045.wav,7,0,1
b0046.wav,8,1,1
b0049.wav,8,0,1
b0056.wav,7,0,1
b0057.wav,9,0,1
b0058.wav,8,0,1
b0060.wav,8,1,1
b0061.wav,8,0,1
b0062.wav,10,0,1
b0066.wav,8,0,1
b0067.wav,7,0,1
b0070.wav,6,0,1
b0073.wav,8,0,1
b0076.wav,8,0,1
b0081.wav,9,1,0
b0082.wav,1,1,0
b0085.wav,7,0,1
b0087.wav,8,0,1
b0090.wav,8,1,1
b0093.wav,9,0,1
b0097.wav,6,1,1
b0099.wav,8,0,1
b0105.wav,7,0,1
b0111.wav,12,1,1
b0112.wav,10,1,1
b0113.wav,10,0,1
b0114.wav,5,1,1
b0116.wav,7,0,1
b0118.wav,7,0,1
b0119.wav,8,0,1
b0123.wav,6,0,1
b0124.wav,7,0,1
b0126.wav,13,0,1
b0132.wav,3,0,0
b0133.wav,8,0,1
b0134.wav,8,0,1
b0138.wav,8,0,1
b0143.wav,7,0,1
b0145.wav,9,0,1
b0147.wav,8,0,1
b0148.wav,13,1,0
b0151.wav,7,1,1
b0152.wav,7,0,1
b0155.wav,9,0,1
b0159.wav,8,0,1
b0164.wav,8,1,0
b0171.wav,8,0,1
b0172.wav,7,1,1
b0178.wav,8,0,1
b0185.wav,8,0,1
b0187.wav,7,1,1
b0189.wav,8,1,1
b0190.wav,6,0,1
b0195.wav,8,0,1
b0196.wav,9,0,1
b0197.wav,8,1,0
b0200.wav,6,1,1
b0202.wav,6,1,1
b0206.wav,10,0,1
b0208.wav,6,0,1
b0213.wav,11,0,1
b0216.wav,7,0,1
b0217.wav,8,1,1
b0219.wav,8,0,1
b0220.wav,7,0,1
b0227.wav,8,1,1
b0228.wav,8,0,1
b0230.wav,8,1,1
b0231.wav,9,0,1
b0232.wav,8,0,1
b0233.wav,8,1,0
b0239.wav,8,1,0
b0241.wav,7,0,1
b0245.wav,11,0,1
b0246.wav,8,0,1
b0251.wav,8,1,1
b0253.wav,9,1,0
b0254.wav,7,0,1
b0260.wav,8,1,1
b0263.wav,8,1,1
b0265.wav,8,1,1
b0268.wav,9,1,1
b0271.wav,9,1,1
b0273.wav,8,0,1
b0274.wav,8,0,1
b0279.wav,8,1,1
b0280.wav,7,1,1
b0286.wav,7,0,0
b0294.wav,7,0,1
b0295.wav,6,0,1
b0296.wav,8,0,1
b0298.wav,8,0,1
b0304.wav,7,0,1
b0306.wav,7,0,1
b0311.wav,5,1,1
b0314.wav,6,0,1
b0316.wav,8,0,1
b0320.wav,8,0,1
b0326.wav,7,0,1
b0327.wav,13,1,1
b0334.wav,6,0,1
b0336.wav,7,0,1
b0344.wav,8,1,1
b0345.wav,8,0,1
b0348.wav,7,0,1
b0350.wav,7,1,1
b0352.wav,8,1,1
b0357.wav,8,0,1
b0359.wav,8,0,1
b0367.wav,8,1,0
b0368.wav,8,1,1
b0373.wav,8,1,1
b0376.wav,8,0,1
b0377.wav,7,0,1
b0378.wav,7,0,1
b0379.wav,7,0,1
b0380.wav,8,1,1
b0382.wav,8,0,1
b0383.wav,9,0,1
b0386.wav,9,1,1
b0387.wav,8,0,1
b0391.wav,7,0,1
b0392.wav,9,0,1
b0394.wav,8,0,1
b0395.wav,9,1,0
b0398.wav,9,0,1
b0399.wav,7,0,1
b0409.wav,9,1,0
b0412.wav,7,0,1
b0418.wav,8,1,0
b0419.wav,9,0,1
b0425.wav,7,1,1
b0428.wav,7,1,1
b0431.wav,8,0,1
b0436.wav,9,1,0
b0437.wav,8,0,1
b0442.wav,8,0,1
b0444.wav,6,0,1
b0447.wav,7,0,1
b0452.wav,8,0,1
b0456.wav,9,1,1
b0457.wav,7,0,1
b0461.wav,7,0,1
b0464.wav,5,1,1
b0465.wav,8,1,0
b0467.wav,8,0,0
b0468.wav,6,0,1
b0474.wav,8,0,1
b0476.wav,12,1,0
b0477.wav,7,0,1
b0479.wav,8,1,1
b0483.wav,10,0,1
b0489.wav,8,0,1
d0001.wav,6,1,1
d0004.wav,8,1,0
d0009.wav,8,0,1
d0015.wav,7,1,1
d0019.wav,7,1,0
d0028.wav,9,1,1
d0030.wav,8,1,1
d0033.wav,15,1,1
d0044.wav,8,0,1
d0045.wav,7,1,1
d0053.wav,8,1,1
d0054.wav,8,1,1
e00152.wav,7,1,1
e00174.wav,7,1,1
e00177.wav,9,1,1
e00670.wav,6,0,1
e00673.wav,7,1,1
e00733.wav,4,0,0
e00967.wav,8,1,1
e01168.wav,8,1,1
e01279.wav,8,0,0
e01289.wav,13,1,1
e01306.wav,8,0,0
e01324.wav,10,1,1
e01641.wav,8,0,0
e01914.wav,6,0,0
e02115.wav,8,1,1
